labels,text,emotion,probs_synonyms
joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy. ,joy,"[0.9535878896713257, 0.7890961170196533, 0.9393194913864136, 0.8970248103141785, 0.965377926826477, 0.8790292739868164]"
fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover. ",sadness,"[0.4203547239303589, 0.5857927799224854, 0.37019070982933044, 0.3246808350086212, 0.2675941586494446, 0.4951382875442505]"
anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful. ",anger,"[0.6930922865867615, 0.9562450647354126, 0.3398157060146332, 0.6215083599090576, 0.32586437463760376, 0.9674875140190125]"
sadness,"When my boyfriend openly let me down, preferring another girl. ",shame,"[0.9854728579521179, 0.9945166707038879, 0.936560869216919, 0.9647050499916077, 0.9194005727767944, 0.9309427738189697]"
disgust,"I felt some disgust for my boyfriend for a time, after he had left me. ",disgust,"[0.9916526675224304, 0.9699652791023254, 0.8179425597190857, 0.9405049085617065, 0.9793127775192261, 0.9882684946060181]"
shame,Can't think of any. ,anger,"[0.0058249859139323235, 0.003908128011971712, 0.005608435720205307, 0.006041013170033693, 0.005061702337116003, 0.013571485877037048]"
guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed. ",sadness,"[0.8624223470687866, 0.9031428694725037, 0.9416782259941101, 0.6928203105926514, 0.9287271499633789, 0.9303769469261169]"
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a year. ",guilt,"[0.926479160785675, 0.33088940382003784, 0.9506210088729858, 0.7821296453475952, 0.9540532827377319, 0.4345088005065918]"
fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at. ",fear,"[0.967099130153656, 0.8953902125358582, 0.9322359561920166, 0.9236318469047546, 0.8140145540237427, 0.9759951233863831]"
anger,Being treated unfairly. ,anger,"[0.9282884001731873, 0.9539064168930054, 0.7828397154808044, 0.9235009551048279, 0.8307735323905945, 0.9719972014427185]"
sadness,Breaking up with a girl. ,sadness,"[0.9541475772857666, 0.985095202922821, 0.8772442936897278, 0.930414080619812, 0.9259205460548401, 0.8083406090736389]"
disgust,Nothing. ,anger,"[0.01597004197537899, 0.01600179262459278, 0.034882474690675735, 0.12491646409034729, 0.027296200394630432, 0.013536299578845501]"
shame,None. ,anger,"[0.004445154219865799, 0.003964493051171303, 0.004726702347397804, 0.004706377163529396, 0.00562323210760951, 0.010710862465202808]"
guilt,Little contact with my father before he died. ,sadness,"[0.7415079474449158, 0.48009422421455383, 0.4978621304035187, 0.24052034318447113, 0.7196479439735413, 0.8364651799201965]"
joy,"When I was accepted as a student at the college, not having thought it possible. ",joy,"[0.9104409217834473, 0.9546095132827759, 0.8934181928634644, 0.8957773447036743, 0.9491304159164429, 0.667738139629364]"
fear,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed. ",sadness,"[0.9066884517669678, 0.9517812728881836, 0.826162576675415, 0.8718211054801941, 0.9213205575942993, 0.9123748540878296]"
anger,"I was accused of having done something, which I hadn't and got very angry. ",anger,"[0.9974229335784912, 0.33546414971351624, 0.9694123268127441, 0.9100708365440369, 0.9572057127952576, 0.9845854640007019]"
sadness,When my grandmother died. ,sadness,"[0.9701786637306213, 0.9503592252731323, 0.969158411026001, 0.9692018628120422, 0.9271716475486755, 0.8822284936904907]"
disgust,Not applicable. ,anger,"[0.15638720989227295, 0.12922915816307068, 0.19271165132522583, 0.20046107470989227, 0.4006788432598114, 0.21382305026054382]"
joy,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband. Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment. the whole nature was full of music. ",joy,"[0.9790883660316467, 0.5255346894264221, 0.9696323871612549, 0.7750425338745117, 0.9750218391418457, 0.704776406288147]"
fear,"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences. My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket) ",sadness,"[0.7888613939285278, 0.8036179542541504, 0.7879931330680847, 0.7123790979385376, 0.6961066722869873, 0.9232718348503113]"
anger,"I went to a lecture and once again it had been cancelled, this was the second time. One had a negative attitude towards the lecturer. ",disgust,"[0.9335253238677979, 0.9828342199325562, 0.7035868167877197, 0.7689613103866577, 0.6543746590614319, 0.9793567657470703]"
sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible. The limited scope of human life is sad. ",sadness,"[0.9979633092880249, 0.9929946064949036, 0.97782301902771, 0.9957222938537598, 0.937118649482727, 0.9429698586463928]"
disgust,"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice. When she got up to go a disgusting smell of urine came from her. I felt that I would choke. ",fear,"[0.9938229322433472, 0.9679392576217651, 0.5035540461540222, 0.9354975819587708, 0.9894952178001404, 0.9930526614189148]"
shame,"When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner. My deed had been unjust and I knew that my husband was right, therefore my sense of shame. ",shame,"[0.9968447685241699, 0.9945482611656189, 0.9945880174636841, 0.9901235699653625, 0.9779072999954224, 0.9486782550811768]"
guilt,"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine. Later, the same evening, my sister looked sad. I felt guilty about her sadness. ",guilt,"[0.9934490323066711, 0.9326760768890381, 0.9299962520599365, 0.7206109762191772, 0.7755441069602966, 0.9783920049667358]"
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday. ",joy,"[0.9607334733009338, 0.39920368790626526, 0.9491667151451111, 0.811633288860321, 0.9792475700378418, 0.7774520516395569]"
fear,"I went to practice in Sweden during summer, and I was afraid that I would not do well. ",guilt,"[0.9982206225395203, 0.5409997701644897, 0.9947066903114319, 0.9132296442985535, 0.9734328389167786, 0.9946838021278381]"
anger,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest. ",anger,"[0.7010922431945801, 0.8907611966133118, 0.6513081789016724, 0.7051043510437012, 0.6266330480575562, 0.9221232533454895]"
sadness,My grandmother died suddenly last summer. ,sadness,"[0.9653452634811401, 0.9149139523506165, 0.9607821106910706, 0.9582341909408569, 0.900886058807373, 0.8151453137397766]"
disgust,"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him. ",disgust,"[0.9868653416633606, 0.9881048202514648, 0.9869641661643982, 0.8557597398757935, 0.9923336505889893, 0.9887096285820007]"
shame,Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired. ,anger,"[0.6319511532783508, 0.7261685729026794, 0.610089898109436, 0.6064443588256836, 0.511834442615509, 0.580220639705658]"
guilt,Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association). ,guilt,"[0.8816401958465576, 0.8356985449790955, 0.8701118230819702, 0.736449122428894, 0.5241454243659973, 0.8951846361160278]"
joy,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation. I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ? ",joy,"[0.9951866269111633, 0.897743821144104, 0.9787698984146118, 0.7366037964820862, 0.9912415742874146, 0.7468177676200867]"
fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group. We read the names and then each group went its own way to a seminar room. I wondered how I would cope with the new situation and if I would succeed as a group leader. ",guilt,"[0.8401826024055481, 0.0806516781449318, 0.9703739285469055, 0.27537834644317627, 0.581966757774353, 0.9038806557655334]"
anger,"We were in a disco and the evening was not at all pleasant. Despite my not knowing why, I was angry with my companion. I let him feel my bad humour as I cannot hide my feelings. ",anger,"[0.9924008846282959, 0.9067559838294983, 0.4593653976917267, 0.5172125697135925, 0.6026531457901001, 0.9686564207077026]"
sadness,"My grandmother died, and my mother called me one sunday morning in the Autumn. The way my mother told me about it, I hated her at that moment. She sounded as if she had been waiting for the death of my grandmother. I had lost a person close to me. I felt guilty too as I had been bad to my grandmother of late. I had not remained calm when she no longer understood everything so well. ",guilt,"[0.9839568734169006, 0.9708107709884644, 0.9638184309005737, 0.9745760560035706, 0.875097930431366, 0.5808504819869995]"
disgust,"At the underground station, a drunkard came to speak to me. He tried to ask me something but I did not answer so he began to speak about me with his companion. I detested this dirty growling man. ",disgust,"[0.9941380023956299, 0.9930033087730408, 0.984478771686554, 0.9216393232345581, 0.9960278272628784, 0.9935821294784546]"
shame,"I was worried by a task related to my studies which had to be done in groups of two. I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner. I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine. ",shame,"[0.99608314037323, 0.992676317691803, 0.9958939552307129, 0.9559373259544373, 0.9499958753585815, 0.9054989814758301]"
guilt,I had told my boyfriend that I did not want to go on with our relationship. I knew that I was important to him but I wanted to be free. I saw that this was difficult for him but I remained firm and did not change my mind. ,guilt,"[0.32075074315071106, 0.8812723159790039, 0.85153728723526, 0.4292972683906555, 0.8552380800247192, 0.18622027337551117]"
joy,"Last night I had a chat with a fellow student. I had known her for about half a year, and for the first time we were speaking ""the same language""- meaning an inspiring discussion and encounter. ",joy,"[0.7894800901412964, 0.8473708629608154, 0.936048150062561, 0.9110817909240723, 0.8846227526664734, 0.830161452293396]"
anger,"[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events. ] ",disgust,"[0.9833173155784607, 0.9833252429962158, 0.727677047252655, 0.8970969915390015, 0.7470448017120361, 0.988246500492096]"
sadness,"After hearing about the death of my grandfather. First I could not believe it, but later I wept and felt the situation was hopeless. I felt lonely and wanted to be consolated. ",sadness,"[0.9957581162452698, 0.990497350692749, 0.986283540725708, 0.9943791031837463, 0.988953709602356, 0.8724968433380127]"
disgust,"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program. ",guilt,"[0.9077390432357788, 0.6730741262435913, 0.809694766998291, 0.17028909921646118, 0.9305815100669861, 0.7980320453643799]"
shame,My little brother was arrested by the police at the railway station after he had drunk some beer. ,sadness,"[0.8618136644363403, 0.8396369814872742, 0.8395722508430481, 0.8271549940109253, 0.890840470790863, 0.8052199482917786]"
